src	tgt	weight.it
Education	Education	0.300915398608
Education	Literature	0.0324162670574
Education	Art	0.0459196865302
Education	Warfare	0.00984583843721
Education	Business	0.0234021776729
Education	Humanities	0.078321432986
Education	Personal	0.0247349298093
Education	Media	0.0251307488279
Education	Music	0.0243845138388
Education	Sports	0.0376591451876
Education	Religion	0.0388396189225
Education	Royalty	0.0197076057984
Education	Exploration	0.0130218675488
Education	Science	0.0208159018403
Education	Politics	0.0734649533922
Education	Law	0.00968929233333
Literature	Education	0.0387823058589
Literature	Literature	0.307082007258
Literature	Art	0.0673952438742
Literature	Warfare	0.00957231462883
Literature	Business	0.00961700627301
Literature	Humanities	0.0374688572147
Literature	Personal	0.0322588093313
Literature	Media	0.0501248117117
Literature	Music	0.0324039087086
Literature	Sports	0.0432148739356
Literature	Religion	0.0244576201043
Literature	Royalty	0.0199769183834
Literature	Exploration	0.0126988482301
Literature	Science	0.012314918546
Literature	Politics	0.0452571893681
Literature	Law	0.0129186763528
Art	Education	0.019037868345
Art	Literature	0.0195676976694
Art	Art	0.371379604564
Art	Warfare	0.00958770602052
Art	Business	0.0187324474253
Art	Humanities	0.0423846606424
Art	Personal	0.0285824491843
Art	Media	0.0376338412917
Art	Music	0.028704534459
Art	Sports	0.0419410502017
Art	Religion	0.0274910106952
Art	Royalty	0.0234278759817
Art	Exploration	0.012944642007
Art	Science	0.0136149651415
Art	Politics	0.0283700530651
Art	Law	0.00854822632533
Warfare	Education	0.00940801006612
Warfare	Literature	0.00606953216765
Warfare	Art	0.0209559033943
Warfare	Warfare	0.365435289155
Warfare	Business	0.0113209489976
Warfare	Humanities	0.0175778974829
Warfare	Personal	0.0234131869634
Warfare	Media	0.018170045098
Warfare	Music	0.0182963340779
Warfare	Sports	0.0476788643046
Warfare	Religion	0.0157645280874
Warfare	Royalty	0.0422965986104
Warfare	Exploration	0.0285903957591
Warfare	Science	0.0133564046741
Warfare	Politics	0.0734028732196
Warfare	Law	0.0145635556246
Business	Education	0.0431193282664
Business	Literature	0.00789658663934
Business	Art	0.0518174176393
Business	Warfare	0.0153722374098
Business	Business	0.306368270787
Business	Humanities	0.0405558102049
Business	Personal	0.0296769721189
Business	Media	0.0218665355246
Business	Music	0.0217114042541
Business	Sports	0.0453453565164
Business	Religion	0.0154866711762
Business	Royalty	0.0200841269057
